group,distribution,library,p50_ns,p90_ns,p95_ns,p99_ns,p99.9_ns,mean_ns,std_dev_ns,ci_lower_ns,ci_upper_ns,iqr_ns,cv,min_ns,max_ns
encode,tier_boundaries,vu128,19163.4,19779.2,19883.5,20050.3,20136.4,19108.2,565.5,18996.4,19215.8,699.9,0.0294,17318.2,20146.0
encode,tier_boundaries,vu64,18258.3,19320.3,19554.2,19764.3,19790.1,18435.9,538.1,18332.9,18544.2,629.0,0.0290,17675.9,19793.0
encode,tiny_0_247,bijou64,2231.1,2263.8,2268.9,2284.5,2287.0,2230.4,26.3,2225.3,2235.5,35.3,0.0118,2149.7,2287.3
encode,tiny_0_247,leb128,4216.8,4461.2,4480.5,4814.0,5127.6,4226.4,205.5,4187.2,4267.4,275.9,0.0484,3883.9,5162.4
encode,tiny_0_247,varu64,10958.3,11039.8,11083.8,11268.0,11273.6,10961.3,84.3,10945.2,10978.1,81.8,0.0077,10748.9,11274.2
encode,tiny_0_247,vu128,16165.5,17045.9,17330.2,17694.0,17783.8,16318.2,513.1,16219.7,16419.8,591.0,0.0313,15302.3,17793.8
encode,tiny_0_247,vu64,20603.6,21323.0,21619.7,21716.4,21762.0,20661.1,493.0,20565.8,20757.6,675.9,0.0237,19401.6,21767.1
encode,uniform_random,bijou64,13190.3,13782.9,13850.2,13960.1,13985.1,13191.5,421.5,13109.0,13273.1,622.5,0.0318,12277.4,13987.9
encode,uniform_random,leb128,34298.9,35330.6,35486.5,35945.8,36090.7,34133.9,994.3,33937.2,34324.7,1265.7,0.0290,31460.4,36106.9
encode,uniform_random,varu64,27932.2,29628.0,29958.0,30462.8,30699.3,28194.6,917.0,28019.6,28377.2,1254.8,0.0324,26881.7,30725.5
encode,uniform_random,vu128,11657.8,12173.7,12214.7,12389.2,12452.7,11662.5,368.2,11591.3,11734.6,628.1,0.0314,10946.2,12459.8
encode,uniform_random,vu64,11102.4,11512.8,11586.4,11764.4,11844.3,11096.5,337.0,11029.5,11161.0,346.5,0.0302,9833.2,11853.2
encode_array,large_above_4G,bijou64,2734.0,2795.8,2825.7,2837.9,2847.6,2738.9,44.5,2730.3,2747.6,56.8,0.0162,2621.7,2848.7
encode_array,large_above_4G,varu64,19928.4,20468.0,20939.5,21225.6,21336.7,20033.0,351.7,19967.5,20105.3,208.3,0.0175,19607.3,21349.0
encode_array,large_above_4G,vu128,3509.0,3547.5,3558.5,3614.3,3796.2,3516.3,38.8,3509.6,3524.7,26.2,0.0110,3422.5,3816.4
encode_array,large_above_4G,vu64,1639.5,1650.9,1657.0,1678.3,1685.8,1641.2,10.3,1639.2,1643.2,10.4,0.0062,1623.1,1686.7
encode_array,medium_64k_4G,bijou64,2577.5,2645.6,2666.9,2712.7,2748.6,2573.0,55.9,2562.2,2584.0,80.8,0.0216,2488.9,2752.5
encode_array,medium_64k_4G,varu64,12383.6,12466.5,12517.2,12658.3,12706.6,12392.2,73.8,12378.3,12407.0,72.2,0.0059,12216.5,12711.9
encode_array,medium_64k_4G,vu128,3502.9,3551.1,3615.8,3656.1,3700.4,3510.3,45.7,3501.8,3519.5,47.5,0.0129,3435.8,3705.3
encode_array,medium_64k_4G,vu64,1648.4,1658.7,1674.3,1724.9,1785.1,1651.9,19.7,1648.5,1656.2,9.1,0.0119,1629.0,1791.8
encode_array,small_248_65535,bijou64,2426.1,2442.7,2446.9,2458.3,2493.6,2424.2,17.9,2420.7,2427.7,16.7,0.0074,2372.0,2497.5
encode_array,small_248_65535,varu64,8661.5,8729.6,8797.2,8881.2,8911.9,8668.3,75.9,8653.2,8682.9,68.5,0.0087,8277.9,8915.3
encode_array,small_248_65535,vu128,3509.2,3539.5,3544.0,3556.2,3579.2,3506.4,29.0,3500.7,3511.9,29.1,0.0082,3404.4,3581.8
encode_array,small_248_65535,vu64,1622.8,1644.3,1648.5,1676.4,1693.1,1625.7,16.9,1622.5,1629.1,22.0,0.0104,1586.6,1694.9
encode_array,tier_boundaries,bijou64,2562.1,2765.4,2784.8,2815.2,2828.1,2565.6,143.6,2537.4,2593.3,184.0,0.0557,2236.6,2829.6
encode_array,tier_boundaries,varu64,16406.7,16594.9,16621.4,16674.3,16704.0,16422.0,118.2,16399.1,16445.2,151.9,0.0072,16168.2,16707.4
encode_array,tier_boundaries,vu128,3418.4,3457.0,3468.1,3499.1,3504.2,3418.5,32.5,3412.2,3424.9,40.1,0.0095,3328.2,3504.8
encode_array,tier_boundaries,vu64,1654.4,1664.6,1670.1,1689.5,1691.6,1653.2,11.4,1651.0,1655.4,10.3,0.0069,1627.4,1691.8
encode_array,tiny_0_247,bijou64,1269.5,1277.4,1279.2,1286.0,1293.6,1270.6,4.9,1269.6,1271.6,3.9,0.0039,1262.9,1294.5
encode_array,tiny_0_247,varu64,4868.6,4903.8,4927.9,5091.1,5191.7,4875.0,45.9,4867.2,4884.9,27.4,0.0094,4826.2,5202.8
encode_array,tiny_0_247,vu128,2857.7,2891.9,2903.2,2945.7,2957.0,2861.5,26.8,2856.4,2866.8,28.1,0.0093,2755.6,2958.3
encode_array,tiny_0_247,vu64,1617.7,1624.4,1630.0,1637.3,1718.4,1619.2,12.2,1617.4,1622.0,5.1,0.0075,1605.2,1727.4
encode_array,uniform_random,bijou64,2533.2,2572.2,2602.6,2678.1,2680.1,2540.4,33.7,2534.2,2547.3,23.1,0.0132,2495.1,2680.4
encode_array,uniform_random,varu64,19915.5,20032.3,20081.1,20251.4,20295.9,19915.0,101.9,19895.4,19935.3,108.1,0.0051,19639.0,20300.8
encode_array,uniform_random,vu128,3528.2,3544.6,3555.4,3561.5,3571.5,3524.6,20.5,3520.5,3528.6,23.2,0.0058,3452.5,3572.6
encode_array,uniform_random,vu64,1660.2,1676.9,1679.6,1683.3,1686.4,1658.4,14.8,1655.5,1661.3,21.0,0.0089,1619.9,1686.8
encoded_size,large_above_4G,bijou64,2775.8,2844.0,2886.5,2970.2,3414.1,2789.6,81.7,2776.2,2807.7,42.4,0.0292,2706.7,3463.4
encoded_size,large_above_4G,varu64,6245.9,6309.0,6339.0,6375.2,6381.9,6247.3,50.8,6237.4,6257.2,53.4,0.0081,6072.1,6382.7
encoded_size,large_above_4G,vu64,930.6,937.2,940.5,973.1,1002.5,931.1,10.9,929.2,933.4,7.7,0.0116,912.8,1005.8
encoded_size,medium_64k_4G,bijou64,2758.5,2795.8,2816.6,2827.2,2912.6,2753.2,40.5,2745.3,2761.1,40.4,0.0146,2645.8,2922.1
encoded_size,medium_64k_4G,varu64,5063.7,5119.2,5135.0,5233.0,5251.6,5068.0,43.1,5059.9,5076.8,38.0,0.0085,4934.8,5253.7
encoded_size,medium_64k_4G,vu64,945.5,955.6,958.5,969.6,992.5,946.8,9.0,945.1,948.6,8.5,0.0095,919.0,995.1
encoded_size,small_248_65535,bijou64,2859.5,2903.9,2917.6,2959.8,3033.1,2860.0,40.6,2852.4,2868.2,55.8,0.0141,2790.4,3041.3
encoded_size,small_248_65535,varu64,2511.5,2532.1,2538.5,2550.6,2580.8,2510.7,19.4,2506.8,2514.5,23.0,0.0077,2442.5,2584.2
